nb_clients,T,s,n_rounds,corrected_budget,build_seconds,solve_seconds,status,objective_value,achieved_GHG
14,90,60,149,124.30210500000005,0.006573062972165644,0.031733973999507725,greedy_done,18.719063538435858,124.19902500000008
14,90,80,169,124.30384200000006,0.008423662045970559,0.03635328996460885,greedy_done,18.79063841397287,124.24278900000013
14,90,100,189,124.40789100000006,0.01058045495301485,0.03991370799485594,greedy_done,18.869188042896155,124.40284200000012
14,75,20,94,101.00465700000002,0.002670911024324596,0.017104586004279554,greedy_done,18.191177854314265,100.83130500000004
14,75,40,114,101.01500400000002,0.0039657860761508346,0.021840902976691723,greedy_done,18.35119369845368,100.965687
14,75,60,134,100.96668900000002,0.005338812014088035,0.02619678492192179,greedy_done,18.431994427092345,100.88600400000009
14,75,80,154,101.12886900000002,0.007045220001600683,0.03031618904788047,greedy_done,18.502126993148757,101.07610800000009
14,75,100,174,101.08251300000002,0.009006339008919895,0.03407807799521834,greedy_done,18.556333558228673,101.07744000000014
14,60,20,79,78.86928600000002,0.0020590430358424783,0.013263686909340322,greedy_done,17.855995865701836,78.75186600000005
14,60,40,99,78.93391800000002,0.002944882959127426,0.017061814083717763,greedy_done,17.999276914213823,78.92793300000004
14,60,60,119,78.90924600000001,0.004253997001796961,0.02092414500657469,greedy_done,18.099768215337953,78.89039400000003
14,60,80,139,78.88798500000001,0.0059028599644079804,0.02440016099717468,greedy_done,18.154858935464276,78.86356800000003
14,60,100,159,78.84587100000002,0.007557388977147639,0.028115530963987112,greedy_done,18.20459234331334,78.76861500000008
14,45,20,64,58.8432,0.0012627049582079053,0.009769128053449094,greedy_done,17.461210866632296,58.785962999999946
14,45,40,84,58.798905000000005,0.0022896670270711184,0.01301072002388537,greedy_done,17.604527216641934,58.774436999999935
14,45,60,104,58.833954000000006,0.003246672102250159,0.016021022922359407,greedy_done,17.693714207421674,58.780613999999936
14,45,80,124,58.740711000000005,0.004584911046549678,0.019299626001156867,greedy_done,17.75588901245767,58.68540599999999
14,45,100,144,58.740387000000005,0.00613672100007534,0.022553530987352133,greedy_done,17.79055737855117,58.686885000000004
14,30,20,49,39.720816,0.0007856599986553192,0.006596519961021841,greedy_done,16.892476514797103,39.60227099999999
14,30,40,69,39.530253,0.0014797750627622008,0.009404093027114868,greedy_done,17.07638733820247,39.41946000000001
14,30,60,89,39.449961,0.0024001250276342034,0.011923045967705548,greedy_done,17.158198324949282,39.410043
14,30,80,109,39.54558,0.003638821071945131,0.014821340912021697,greedy_done,17.21446279684983,39.54386399999998
14,30,100,129,39.503103,0.005041216965764761,0.017540405970066786,greedy_done,17.243522851855662,39.493196999999974
